,text,manifesto_id,party,date,title,Class
9970,new feed tariff investment solid wall insulation expensive difficult energy saving investment homes,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
555,bringing health services closer people,51421_199705,Liberal Democrats,199705,Make the Difference,4
658,reform strengthen local government province,51421_199705,Liberal Democrats,199705,Make the Difference,4
6463,still appallingly high people died roads seriously injured far worse modes transport,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15850,following financial incentives offered encourage developers build brownfield sites,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
4266,taken together therefore two measures redistributive revenue neutral,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
8363,public procurement spending amounts billion northern ireland annually,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
8436,continue press ofmdfm deliver executive antipoverty commitments northern ireland specific child poverty targets,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
8349,believe barriers accessing education must removed,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
7774,controlling immigration fair rules,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
9054,support fast growing businesses could create million jobs years following sherry coutu report scale ups,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
5540,lgbtiq communities,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13189,would increase upper earnings limit national insurance contributions per year,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
11527,encourage large scale trials innovative technologies health services,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
2994,backed specific funds engage local community,51320_200106,Labour Party,200106,Ambitions for Britain,3
13495,continue support intelligence led cross border crime fighting initiatives across british isles europe worldwide particular emphasis preventing terrorism ending human trafficking,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
11649,volunteering year high million adults giving time last year,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
5078,aiming passivhaus ultra low energy refurbishment standard,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
586,seek increase access respite care ensure carers users involved decisions care,51421_199705,Liberal Democrats,199705,Make the Difference,4
8083,labour internationalist party believes britain must engage global challenges face try solve,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
12482,maintain size regular armed services reduce army,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
11126,require owners set clear reserve price community aim bidding,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
6494,eliminate pavement parking close cooperation waste collection emergency services make sure essential services unimpeded access addresses,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15718,help prevent thousands fathers losing contact children year couples break ukip legislate initial presumption shared parenting child residency matters,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
13885,provide opportunities older people remain socially physically mentally active later life,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
816,diversity source strength,51421_199705,Liberal Democrats,199705,Make the Difference,4
89,encourage schools develop courses parents build links local leisure organisations open school sports facilities community work local businesses provide improved computer education,51421_199705,Liberal Democrats,199705,Make the Difference,4
11718,plan action,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
15242,pay carers extra year,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
13136,workers given decent day pay honest day work unacceptable workers wales paid less living wage work forty hour week earn enough live election committed getting living wage pay rise welsh employees want wales beacon economic fairness,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
11222,reduce fraud error,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
3756,initially targeting areas social deprivation,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
13486,legal highs outdated misuse drugs act,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
13510,setting better support veterans back civilian life help later lives,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
6932,united ireland must deliver place citizens,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
4892,mandatory targets surveillance human health impacts,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13035,safeguard rights wish express culture,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
16131,caring environment,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
1273,prescription charges increased tory government p current,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
11661,encourage communities engaged neighbourhood planning complete process assist others draw plans,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
1526,key priority double forest woodland cover within years particular emphasis native woodland,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
7843,also raise professional standards amongst prison officers including creation chartered prison officers,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
15824,housing environment,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
14740,also continue support living wage ensuring paid staff covered scottish government public sector pay policy,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
7009,need powers manage grow economy,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
15427,amnesty illegal immigrants,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
6818,sit laptop start planning next holiday two weeks beach cornwall,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
6182,still contracts get handed private sector taking profit taxpayer shouldering risk,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
10787,broadest shoulders contributed deficit reduction,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
12121,including strengthening powers confiscate passports seeking travel commit terrorism,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
1107,scotland people,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
14651,also acted tackle scourge knife crime,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
11505,consider best recognise reward high performance,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
8364,sdlp continue support social clauses public procurement contracts ensure local businesses community benefit,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
16331,fair criminals regardless origin,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
10568,recognise world changed fundamentally since last review,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
5064,caroline lucas fuel poverty,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
10120,oppose introduction called snooper charter,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6344,make sure children get least half day equivalent sports school,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
16612,meantime continue support poorest people earth programmes prioritise clean water sanitation vaccinations disaster relief,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
14906,instead limited unambitious proposals tax powers greater ability generate economic growth,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
3211,tupe regulations protect rights transferred employees,51320_200106,Labour Party,200106,Ambitions for Britain,3
16031,employers permitted expect worker turn work turned away work available,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
14606,scottish cabinet one three cabinets developed world equal number men women,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
11784,house building highest since,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
16601,south atlantic must negotiate kowtow argentine aggression falkland islands uphold respect islanders decision self determination recent referendum overwhelming desire right remain british,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
14723,maintaining small business bonus scheme removes reduces rates almost businesses,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
11658,generation teenagers undertaken national citizen service ncs developing skills broadening horizons growing confidence,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
7063,inward investment,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
7254,balance books cutting deficit every year surplus current budget national debt falling soon possible next parliament,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
12438,continuing condemn illegal settlement building undermines prospects peace,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
4424,transport,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
2126,skills,51320_200106,Labour Party,200106,Ambitions for Britain,3
12100,make supreme court ultimate arbiter human rights matters uk,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
5030,reasonable chance avoiding catastrophic climate change need reduction greenhouse gases uk next years,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
7512,privately rented properties meet decency standard bringing warmth three million homes,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
1008,scotland still exists despite determined efforts rule us diminish dismiss deride national aspirations,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
772,bring forward introduction pension splitting divorce,51421_199705,Liberal Democrats,199705,Make the Difference,4
7628,include supporting people remain home end life including terminally ill greatest care needs,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
11687,still continue champion equality lesbian gay bisexual transgender people,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
15836,protecting rural communities preserving precious countryside,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
7545,britain needs succeed country,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
9699,place management public forests sustainable footing line recommendations independent panel forestry,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
14137,wealth creation address unacceptable levels inequality scottish society,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
16451,need take pride country claim back heritage chattering classes denigrated culture highlighted failings country rather celebrating successes tried make us ashamed british,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
15344,government focused wrong spending priorities far long,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
15955,climate change act act rooted eu folly drives costs undermines competitiveness hits jobs growth,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
8897,providing long term capital medium sized businesses,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
2445,spirit enterprise apply much public service business,51320_200106,Labour Party,200106,Ambitions for Britain,3
8343,sdlp believe essential ensure curriculum across stages schooling forwardfocused make priority deliver coding pupils earliest opportunity,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
7225,think insecurity make people work harder low pay way competitive global market,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
12101,continue million modernisation courts system reducing delay frustration public,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
9225,invest clear backlog assessments disability living allowance personal independence payment,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
2726,culture line offer children adults alike tailored access national collections cultural activity internet,51320_200106,Labour Party,200106,Ambitions for Britain,3
12529,continue support unsung heroes armed forces community partners families serve,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
7837,bring tough new powers enabling police prevent adult contacting communicating child evidence abuse,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
13547,action human rights,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
11028,next five years deliver three million ensure deliver skills employers need,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
7038,ensure sustainable framework public finances including necessary borrowing investment powers,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
5963,taxing something discourages us buying,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13044,promote diversification agricultural land based rural businesses grow rural economy,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
15377,create harmonious integrated communities,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
13482,help prisoners develop reading literacy skills help find job away life crime,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
2848,people cannot work society duty provide security,51320_200106,Labour Party,200106,Ambitions for Britain,3
7817,making different choices abolish police crime commissioners,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
3060,also need create effective police service,51320_200106,Labour Party,200106,Ambitions for Britain,3
8489,crucially british government grasp character irish farming,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
612,oppose introduction identity cards,51421_199705,Liberal Democrats,199705,Make the Difference,4
3802,anything determined create specific scottish economic policy suited economic profile nation,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
7247,election country choice,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
11834,average council tax bills england fallen real terms per cent,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
3844,government refocus millions pounds invested programme create better deal targeting people living scotland job black spots,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
4672,order things way round,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
14816,broad principle apply decisions directly affect local communities,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
517,much goes bureaucracy enough patient care,51421_199705,Liberal Democrats,199705,Make the Difference,4
13548,excuse continued global inequality injustice,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
8886,aim stimulate local economies working local enterprise partnerships improve effectiveness coordination,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
12341,already taken action return around powers want go,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
16404,british culture,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
5515,respect nhs pay review body bring nhs pay back line inflation negotiate improved conditions,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
7693,well helping parents provide children school clubs activities helping raise aspirations attainment,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
10985,give businesses competitive taxes major economy,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
14302,properly deployed capital expenditure ability reduce inequalities providing good well paid employment opportunities longterm unemployed apprenticeships wider skills professional development,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
16109,farming countryside,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
2347,recent outbreak foot mouth disease caused strain distress rural areas,51320_200106,Labour Party,200106,Ambitions for Britain,3
9521,called halt wrote equality mental health law,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
15153,work parties agree improvements government northern ireland,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
8605,irish language fully recognised bill rights,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
12086,continue urgent work overhauling police social services agencies work together protect vulnerable children especially kind organised grooming sexual exploitation come light rotherham towns cities across uk,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
14453,addition given assurances people already supported independent living fund support continue,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
1849,st century opportunity break glass ceiling historic strengths match demands modern world,51320_200106,Labour Party,200106,Ambitions for Britain,3
9822,formation one million square kilometre southern atlantic ocean reserve,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
15761,support age appropriate sex relationship education secondary level primary school children,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
10571,use sdsr establish single security budget including conventional defence spending work security agencies cyber defences soft power interventions,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
9000,develop european electricity interconnection capacity,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
12982,monitor funding minority ethnic religious groups ensure government support fair transparent proportionate,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
9563,secure local agreement full pooling budgets nhs care services target date consulting legal duty,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
14455,current tapers universal credit set low means claimants still caught benefits trap clear financial disincentives place work,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
15765,continue respect right withdraw children sex education classes wish,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
10073,require diversity public appointments,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
7937,provide security renters guaranteeing three year tenancies,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
8616,sdlp continue campaign extend powers available people north,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
12072,around adult male prison places today,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
5865,pound bank account promise bank pay pound actually publicly created money,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
1174,exports skills,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
5934,need put wider context space time,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15200,act responsibly interest country whole taking decisions would impact nationally,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
13488,support decriminalisation cannabis,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
10029,permit humanist weddings opposite sex civil partnerships liberalise rules location timing content wedding ceremonies,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
143,begin shift taxation jobs wealth goods pollution depletion natural resources,51421_199705,Liberal Democrats,199705,Make the Difference,4
9454,want become norm businesses take train young people apprentices every sector economy,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
3027,strategy clear consistent tough crime tough causes crime,51320_200106,Labour Party,200106,Ambitions for Britain,3
7899,football clubs important part many people identity sense belonging,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
14603,support strict rules lobbying believe campaigning charities allowed straightforward access restrictions activities nonparty campaigners removed,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
10337,need reform british politics make representative empowering citizens commands greater public confidence,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
1588,materials originating scotland require stored scotland long environmentally required,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
14181,jobs growing businesses seek seedfund capitalisation scottish business development bank enabling new investment scottish business growth innovation,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
14420,increased free nursery provision,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
10232,enable us introduce presumption short term sentences help reduce prison population cut crime,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
645,create strategic authority london,51421_199705,Liberal Democrats,199705,Make the Difference,4
15956,dubbed expensive piece legislation british history government figures put cost act billion year years billion,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
6424,private system takes billion public subsidies every year,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
8497,want better mobile phone coverage stop digital divide disadvantages rural areas,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
6522,uk bent resolving conflicts rather making worse determined listen well speak,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
5746,greens power carry housing policies,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
6819,long trek train tickets cost less expected local line gets practically campsite gate,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
16553,believe members armed forces access expert care services configured meet specific needs serving forces personnel veterans,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
8894,liberal democrats ensured radical reform banking industry make banks safe longer requiring taxpayer safety net,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
9867,protecting important green spaces,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
5430,restore public sector ethos partnership staff patients,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
8909,britain needs stable competitive environment growth,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
606,cannot rebuild trust politics without making government open accountable,51421_199705,Liberal Democrats,199705,Make the Difference,4
11783,,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
6459,develop regional smart payment systems integrated ticketing like london oyster system,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
7648,teachers also expected update knowledge skills condition remaining profession support plans new college teaching,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
14947,none us afford billion plan spend new nuclear weapons,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
11248,immigration brings real benefits britain economy culture national life,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
8370,resulted increased pressure health system failed outcomes healthcare staff patients public,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
2207,five hundred new carriages already use another ordered,51320_200106,Labour Party,200106,Ambitions for Britain,3
13050,ensure work pays order break cycle welfare dependency,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
15634,ukip scrap bedroom tax,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
2264,coal nuclear energy currently play import roles ensuring diversity sources electricity generation,51320_200106,Labour Party,200106,Ambitions for Britain,3
11424,continue improve education network national colleges,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
12347,scrap human rights act,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
11539,continue take mental health seriously physical health,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
7510,bring energy bills making homes energy efficient delivering million interest free loans energy home improvements next parliament,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
9536,investment help ensure children access high quality care closer home,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
2209,safer train protection systems installed extended following lord cullen report rail safety,51320_200106,Labour Party,200106,Ambitions for Britain,3
1890,run health service causes insecurity,51320_200106,Labour Party,200106,Ambitions for Britain,3
8817,aim balance structural current budget,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
7203,look confidently outward world,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
11299,introduction exit checks allow us place responsibility visa sponsors migrants overstay introduce targeted sanctions colleges businesses fail ensure migrants comply terms visa,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
